date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:48	161614/161614	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:40%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/tentang	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/tentang.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:48	20843/20843	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:40%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/visi	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/visi.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:48	214828/214828	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:40%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/struktur	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/struktur.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:48	23354/23354	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:41%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-demografi	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-demografi.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:49	34338/34338	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:41%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-geografis	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-geografis.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:49	26100/26100	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:41%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-keagamaan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-keagamaan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:49	25502/25502	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:41%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-kesehatan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-kesehatan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:49	26896/26896	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:42%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-pendidikan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-pendidikan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:50	26468/26468	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:42%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-pertanian	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-pertanian.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:50	22215/22215	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:42%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-perikanan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_kondisi/kondisi-perikanan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:50	20267/20267	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:42%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-tidak-mampu	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-tidak-mampu.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:50	20271/20271	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:43%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-domisili-haji	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-domisili-haji.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:51	20261/20261	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:43%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-proposal	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-proposal.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:51	20277/20277	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:43%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-domisili-yayasan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-domisili-yayasan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:51	20265/20265	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:43%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-ahli-waris	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-ahli-waris.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:51	20251/20251	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:44%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/akta-jual-beli-tanah	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/akta-jual-beli-tanah.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:52	20277/20277	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:44%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/pencatatan-surat-keterangan-waris	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/pencatatan-surat-keterangan-waris.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:52	20273/20273	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:44%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-pengantar-skck	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-pengantar-skck.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:52	20273/20273	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:44%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-izin-keramaian	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keterangan-izin-keramaian.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:52	20279/20279	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:45%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-izin-spanduk-dan-umbul-umbul	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-izin-spanduk-dan-umbul-umbul.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:53	25459/25459	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:45%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keteranga-domisili-lembaga/ormas/organisasi-keagamaan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-keteranga-domisili-lembaga/ormas/organisasi-keagamaan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:53	20289/20289	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:45%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-pengantar-rekomendasi-pembangunan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/surat-pengantar-rekomendasi-pembangunan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:53	20319/20319	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:45%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/izin-usaha-pendirian-pusat-kegiatan-belajar-masyarakat	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/baca_layanan/izin-usaha-pendirian-pusat-kegiatan-belajar-masyarakat.html	(from https://dev.bekasikab.go.id/telagaasih/)
